Metabolic Function	Gene Name
Ferroptosis Suppressor	ABHD12
Ferroptosis Suppressor	TFAM
Ferroptosis Suppressor	KDM3B
Ferroptosis Suppressor	RNF113A 
Ferroptosis Suppressor	PARK7
Ferroptosis Suppressor	AHCY
Ferroptosis Suppressor	FXN
Ferroptosis Suppressor	circ-TTBK2
Ferroptosis Suppressor	MIR522
Ferroptosis Suppressor	IDH2
Ferroptosis Suppressor	PPARA
Ferroptosis Suppressor	SIAH2
Ferroptosis Suppressor	PRKAA2
Ferroptosis Suppressor	NEDD4
Ferroptosis Suppressor	AIFM2
Ferroptosis Suppressor	PRDX1
Ferroptosis Suppressor	AR
Ferroptosis Suppressor	CBS
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	CHMP5
Ferroptosis Suppressor	CHMP6
Ferroptosis Suppressor	ZFP36
Ferroptosis Suppressor	LAMP2
Ferroptosis Suppressor	MTF1
Ferroptosis Marker	PTGS2
Ferroptosis Marker	DUSP1
Ferroptosis Marker	NOS2
Ferroptosis Marker	NCF2
Ferroptosis Marker	MT3
Ferroptosis Marker	UBC
Ferroptosis Marker	ALB
Ferroptosis Marker	TXNRD1
Ferroptosis Marker	SRXN1
Ferroptosis Marker	GPX2
Ferroptosis Marker	BNIP3
Ferroptosis Marker	OXSR1
Ferroptosis Marker	SELENOS
Ferroptosis Marker	ANGPTL7
Ferroptosis Marker	CHAC1
Ferroptosis Marker	SLC7A11
Ferroptosis Marker	DDIT4
Ferroptosis Marker	LOC284561
Ferroptosis Marker	ASNS
Ferroptosis Marker	TSC22D3
Ferroptosis Marker	DDIT3
Ferroptosis Marker	JDP2
Ferroptosis Marker	SESN2
Ferroptosis Marker	SLC1A4
Ferroptosis Marker	PCK2
Ferroptosis Marker	TXNIP
Ferroptosis Marker	VLDLR
Ferroptosis Marker	GPT2
Ferroptosis Marker	PSAT1
Ferroptosis Marker	LURAP1L
Ferroptosis Marker	SLC7A5
Ferroptosis Marker	HERPUD1
Ferroptosis Marker	XBP1
Ferroptosis Marker	ATF3
Ferroptosis Marker	SLC3A2
Ferroptosis Marker	CBS
Ferroptosis Marker	ATF4
Ferroptosis Marker	ZNF419
Ferroptosis Marker	KLHL24
Ferroptosis Marker	TRIB3
Ferroptosis Marker	ZFP69B
Ferroptosis Marker	ATP6V1G2
Ferroptosis Marker	VEGFA
Ferroptosis Marker	GDF15
Ferroptosis Marker	TUBE1
Ferroptosis Marker	ARRDC3
Ferroptosis Marker	CEBPG
Ferroptosis Marker	SNORA16A
Ferroptosis Marker	RGS4
Ferroptosis Marker	BLOC1S5-TXNDC5
Ferroptosis Marker	LOC390705
Ferroptosis Marker	EIF2S1
Ferroptosis Marker	HSD17B11
Ferroptosis Marker	AGPAT3
Ferroptosis Marker	SETD1B
Ferroptosis Marker	HMOX1
Ferroptosis Marker	TF
Ferroptosis Marker	FTL
Ferroptosis Marker	RPL8
Ferroptosis Marker	ATP5MC3
Ferroptosis Marker	TFRC
Ferroptosis Marker	MAFG
Ferroptosis Marker	FTH1
Ferroptosis Marker	DRD5
Ferroptosis Marker	GPX4
Ferroptosis Marker	DRD4
Ferroptosis Marker	MAP3K5
Ferroptosis Marker	MAPK14
Ferroptosis Marker	SLC2A1
Ferroptosis Marker	SLC2A3
Ferroptosis Marker	SLC2A6
Ferroptosis Marker	SLC2A8
Ferroptosis Marker	SLC2A12
Ferroptosis Marker	GLUT13
Ferroptosis Marker	SLC2A14
Ferroptosis Marker	EIF2AK4
Ferroptosis Marker	EIF2S1
Ferroptosis Marker	ATF4
Ferroptosis Marker	ALOX5
Ferroptosis Marker	ALOX12
Ferroptosis Marker	ALOX15
Ferroptosis Marker	HMGB1
Ferroptosis Marker	ELAVL1
Ferroptosis Marker	SLC3A2
Ferroptosis Marker	SLC7A11
Ferroptosis Marker	HBA1
Ferroptosis Marker	NNMT
Ferroptosis Marker	PLIN4
Ferroptosis Marker	HIC1
Ferroptosis Marker	STMN1
Ferroptosis Marker	RRM2
Ferroptosis Marker	CAPG
Ferroptosis Marker	HNF4A
Ferroptosis Marker	NGB
Ferroptosis Marker	YWHAE
Ferroptosis Marker	GABPB1
Ferroptosis Marker	AURKA
Ferroptosis Marker	MIR4715
Ferroptosis Marker	RIPK1
Ferroptosis Marker	PRDX1
Ferroptosis Marker	MIR30B
Ferroptosis Marker	MMP13
